!!SBtab SBtabVersion='1.0' TableID='ParameterBalanced' TableType='Quantity' TableName='Parameter' Document='jiang_data_cerevisiae_modified.tsv' Date='2023-11-01'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mode	!Unit	!UnconstrainedGeometricMean	!UnconstrainedGeometricStd	!UnconstrainedMean	!UnconstrainedStd	!Std	!GeometricStd	!Organism	!Reference
equilibrium constant	v40		0.1595	dimensionless	0.1595	4.03883212878057e+118	inf	inf				
substrate catalytic rate constant	v40		3.9939	1/s	3.9939	2.193089902832255e+59	inf	inf				
product catalytic rate constant	v40		25.038	1/s	25.038	2.193089902832255e+59	inf	inf				
catalytic rate constant geometric mean	v41		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v41		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v41		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v41		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
product catalytic rate constant	v41		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
catalytic rate constant geometric mean	v42		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v42		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v42		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v42		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
product catalytic rate constant	v42		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
catalytic rate constant geometric mean	v43		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v43		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v43		0.1595	dimensionless	0.1595	4.03883212878057e+118	inf	inf				
substrate catalytic rate constant	v43		3.9939	1/s	3.9939	2.193089902832255e+59	inf	inf				
product catalytic rate constant	v43		25.038	1/s	25.038	2.193089902832255e+59	inf	inf				
catalytic rate constant geometric mean	v39		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v39		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v39		1.0	dimensionless	1.0	1.546619862809495e+175	inf	inf				
substrate catalytic rate constant	v39		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
product catalytic rate constant	v39		10.0	1/s	10.0	4.199791070513993e+87	inf	inf				
catalytic rate constant geometric mean	v44		10.0	1/s	10.0	100.0	402874.8771	16230816651.281				
concentration of enzyme	v44		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	v44		6.269	dimensionless	6.269	3.1804583075638185e+171	inf	inf				
substrate catalytic rate constant	v44		25.038	1/s	25.038	6.03106480159233e+85	inf	inf				
product catalytic rate constant	v44		3.9939	1/s	3.9939	6.03106480159233e+85	inf	inf				
Michaelis constant	GLCflow	GLC	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	LACflow	LAC	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	GAPflow	GAP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v1	GLC	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v1	ATP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v1	F6P	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v1	ADP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v2	F6P	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v2	ATP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v2	FBP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v2	ADP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v3	FBP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v3	GAP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v4	GAP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v4	NAD	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v4	DPG	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v4	NADH_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v5	DPG	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v5	ADP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v5	PEP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v5	ATP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v6	PEP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v6	ADP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v6	PYR_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v6	ATP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v7	PYR_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v7	NADH_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v7	LAC	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v7	NAD	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	hidden_1	AMP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	hidden_1	ATP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	hidden_1	ADP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v8	PYR_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v8	Pyr	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v9	Pyr	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v9	CoA	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v9	NAD_p	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v9	CO2	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v9	Acetyl_CoA	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v9	NADH	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v10	OXA	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v10	Acetyl_CoA	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v10	Cit	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v10	CoA	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v11	Cit	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v11	IsoCit	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v12	IsoCit	0.1042	mM	0.1042	1.5884	0.1159	0.0567		1.2		
Michaelis constant	v12	NAD_p	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v12	OG	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v12	NADH	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v14	OG	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v14	CoA	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v14	NAD_p	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v14	CO2	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v14	SCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v14	NADH	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v15	GDP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v15	SCoA	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v15	Pi	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v15	Suc	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v15	GTP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v15	CoA	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v16	Suc	0.1002	mM	0.1002	9.9993	1.4187	20.0452				
Michaelis constant	v16	Q	0.1002	mM	0.1002	9.9993	1.4187	20.0452				
Michaelis constant	v16	Fum	0.0998	mM	0.0998	9.9993	1.4144	19.9844				
Michaelis constant	v16	QH2	0.0998	mM	0.0998	9.9993	1.4144	19.9844				
Michaelis constant	v17	Fum	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v17	Mal	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v18	Mal	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v18	NAD_p	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v18	NADH	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v18	OXA	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v20	Ala	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v20	OG	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v20	Glu	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v20	Pyr	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v21	OXA	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v21	Glu	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v21	Asp	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v21	OG	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v22	Glu_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v22	Asp	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v22	Asp_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v22	Glu	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v24	NADH	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v24	Q	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v24	NAD_p	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v24	QH2	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v25	QH2	0.1003	mM	0.1003	9.9985	1.4204	20.0662				
Michaelis constant	v25	Cytc3p	0.1006	mM	0.1006	9.9941	1.4231	20.0833				
Michaelis constant	v25	Q	0.0997	mM	0.0997	9.9985	1.4122	19.95				
Michaelis constant	v25	Cytc2p	0.0994	mM	0.0994	9.9941	1.4066	19.8515				
Michaelis constant	v26	Cytc2p	0.1006	mM	0.1006	9.9933	1.4237	20.0891				
Michaelis constant	v26	Cytc3p	0.0994	mM	0.0994	9.9933	1.4055	19.8322				
Michaelis constant	v27	Cit_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v27	CoA_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v27	OXA_cyt	0.0036	mM	0.0036	1.5884	0.004	0.002		1.2		
Michaelis constant	v27	Acetyl_CoA_cyt	0.0047	mM	0.0047	1.5884	0.0053	0.0026		1.2		
Michaelis constant	v28	ADP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v28	Pi	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v28	ATP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v28	H2O	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v29	Cit_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v29	IsoCitcyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v30	Mal_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v30	OG	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v30	OG_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v30	Mal	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v31	NADH_cyt	0.0242	mM	0.0242	1.5884	0.0269	0.0131		1.2		
Michaelis constant	v31	OXA_cyt	0.041	mM	0.041	1.5884	0.0456	0.0223		1.2		
Michaelis constant	v31	Mal_cyt	0.2026	mM	0.2026	1.5884	0.2255	0.1102		1.2		
Michaelis constant	v31	NAD	0.2026	mM	0.2026	1.5884	0.2255	0.1102		1.2		
Michaelis constant	v32	Asp_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v32	OG_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v32	OXA_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v32	Glu_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v33	Cit_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v33	Mal	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v33	Mal_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v33	Cit	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v34	ETFred	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v34	Q	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v34	ETFox	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v34	QH2	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v35	FADH2	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v35	ETFox	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v35	ETFred	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v35	FAD	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v36	ATP	0.1	mM	0.1	9.9998	1.4163	20.0146				
Michaelis constant	v36	CO2	0.1	mM	0.1	9.9998	1.4163	20.0146				
Michaelis constant	v36	Pyr	0.4881	mM	0.4881	1.5884	0.5432	0.2654		1.2		
Michaelis constant	v36	Pi	0.1	mM	0.1	9.9998	1.417	20.0242				
Michaelis constant	v36	ADP	0.1	mM	0.1	9.9998	1.417	20.0242				
Michaelis constant	v36	OXA	0.1	mM	0.1	9.9998	1.417	20.0242				
Michaelis constant	v37	G3P	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v37	FAD	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v37	FADH2	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v37	DHAP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v38	NADH_cyt	0.0254	mM	0.0254	1.5884	0.0283	0.0138		1.2		
Michaelis constant	v38	DHAP	0.4881	mM	0.4881	1.5884	0.5432	0.2655		1.2		
Michaelis constant	v38	G3P	27.9887	mM	27.9887	1.5884	31.1517	15.2225		1.2		
Michaelis constant	v38	NAD	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v40	ADP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v40	ADP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v41	IsoCitcyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v41	NADP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v41	OG_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v41	NADPH_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v42	IsoCitcyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v42	Mal	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v42	Mal_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v42	IsoCit	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v43	ATP	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v43	ATP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v39	Mal_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v39	NADP_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v39	NADPH_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v39	PYR_cyt	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v44	Mal	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v44	NADP_p	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v44	NADPH	0.1	mM	0.1	10.0	1.4167	20.0217				
Michaelis constant	v44	Pyr	0.1	mM	0.1	10.0	1.4167	20.0217				
